feature,importance
vix_percentile,0.16106233
vol_risk_premium,0.083861984
bb_position,0.0679017
spy_return_10d,0.067885146
realized_vol_10d,0.06294143
rsi_14,0.058466114
realized_vol_20d,0.058222648
price_vs_ma200,0.055237748
price_vs_ma50,0.053486962
spy_return_20d,0.05273294
vix_ma_ratio,0.051598832
vix_level,0.047552794
spy_return_5d,0.041415423
vix_term_structure,0.036368478
volume_ratio,0.03506564
spy_return_1d,0.03445256
vix_return_1d,0.031747304
vix_spike,0.0
