,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
33,SPY260129C00692000,2026-01-28 21:14:58+00:00,692.0,5.0,4.96,5.06,-0.38999987,-7.235619,4214.0,1529,0.2104571142578125,True,REGULAR,USD
34,SPY260129C00693000,2026-01-28 21:14:20+00:00,693.0,4.27,4.19,4.29,-0.4000001,-8.565312,5113.0,1716,0.20154607055664062,True,REGULAR,USD
35,SPY260129C00694000,2026-01-28 21:14:48+00:00,694.0,3.52,3.48,3.58,-0.44000006,-11.111113,16698.0,936,0.19385571777343752,True,REGULAR,USD
36,SPY260129C00695000,2026-01-28 21:14:58+00:00,695.0,2.85,2.84,2.89,-0.47000003,-14.156628,64566.0,2583,0.18421225952148437,True,REGULAR,USD
37,SPY260129C00696000,2026-01-28 21:14:58+00:00,696.0,2.24,2.23,2.27,-0.48000002,-17.647058,80668.0,3502,0.17554535400390625,False,REGULAR,USD
38,SPY260129C00697000,2026-01-28 21:14:59+00:00,697.0,1.7,1.7,1.73,-0.5,-22.727272,63848.0,2035,0.16773293212890628,False,REGULAR,USD
39,SPY260129C00698000,2026-01-28 21:14:56+00:00,698.0,1.25,1.24,1.26,-0.47000003,-27.325583,51482.0,2453,0.15992051025390625,False,REGULAR,USD
40,SPY260129C00699000,2026-01-28 21:14:56+00:00,699.0,0.87,0.85,0.87,-0.41999996,-32.558136,47895.0,3208,0.15210808837890627,False,REGULAR,USD
41,SPY260129C00700000,2026-01-28 21:14:59+00:00,700.0,0.56,0.55,0.57,-0.37,-39.784946,49480.0,3857,0.14527221923828126,False,REGULAR,USD
42,SPY260129C00701000,2026-01-28 21:14:58+00:00,701.0,0.33,0.33,0.35,-0.30999997,-48.4375,20627.0,2751,0.13892462646484377,False,REGULAR,USD
43,SPY260129C00702000,2026-01-28 21:14:59+00:00,702.0,0.2,0.19,0.2,-0.21,-51.219513,30359.0,2262,0.1333094482421875,False,REGULAR,USD
44,SPY260129C00703000,2026-01-28 21:14:59+00:00,703.0,0.1,0.1,0.11,-0.16,-61.538464,17541.0,1234,0.1294032373046875,False,REGULAR,USD
45,SPY260129C00704000,2026-01-28 21:14:58+00:00,704.0,0.06,0.05,0.07,-0.09,-59.999996,16597.0,3269,0.13086806640624998,False,REGULAR,USD
46,SPY260129C00705000,2026-01-28 21:14:54+00:00,705.0,0.04,0.03,0.04,-0.04,-50.0,15616.0,4763,0.129891513671875,False,REGULAR,USD
